detector_bandwidth_hz,replicate,method,mean_nrmse,condition_number
1800000.0,0,FE calibrated NNLS,0.20705582795728622,9.726958160215247
1800000.0,0,Emission-filtered NNLS,0.5287137750642064,10.403882032022066
1800000.0,1,FE calibrated NNLS,0.20840095622350624,9.726958160215247
1800000.0,1,Emission-filtered NNLS,0.5276017840032654,10.403882032022066
1800000.0,2,FE calibrated NNLS,0.20627351080711984,9.726958160215247
1800000.0,2,Emission-filtered NNLS,0.5325330918861633,10.403882032022066
1800000.0,3,FE calibrated NNLS,0.21146207647262671,9.726958160215247
1800000.0,3,Emission-filtered NNLS,0.5301457674581871,10.403882032022066
2500000.0,0,FE calibrated NNLS,0.16590674883131032,8.041367093825917
2500000.0,0,Emission-filtered NNLS,0.529390119905669,10.403882032022066
2500000.0,1,FE calibrated NNLS,0.16433591529364466,8.041367093825917
2500000.0,1,Emission-filtered NNLS,0.5355350567053542,10.403882032022066
2500000.0,2,FE calibrated NNLS,0.1633439928358233,8.041367093825917
2500000.0,2,Emission-filtered NNLS,0.5346903932305861,10.403882032022066
2500000.0,3,FE calibrated NNLS,0.16313304255197378,8.041367093825917
2500000.0,3,Emission-filtered NNLS,0.529465162847423,10.403882032022066
4000000.0,0,FE calibrated NNLS,0.1278058005567545,6.643809039158095
4000000.0,0,Emission-filtered NNLS,0.5222862834013784,10.403882032022066
4000000.0,1,FE calibrated NNLS,0.130784248784605,6.643809039158095
4000000.0,1,Emission-filtered NNLS,0.5397083043919579,10.403882032022066
4000000.0,2,FE calibrated NNLS,0.1298679193474095,6.643809039158095
4000000.0,2,Emission-filtered NNLS,0.5341532906735169,10.403882032022066
4000000.0,3,FE calibrated NNLS,0.12798547447867498,6.643809039158095
4000000.0,3,Emission-filtered NNLS,0.5295944797597257,10.403882032022066
6000000.0,0,FE calibrated NNLS,0.11136039589002372,6.025594177553658
6000000.0,0,Emission-filtered NNLS,0.5323395395198891,10.403882032022066
6000000.0,1,FE calibrated NNLS,0.10944194221500111,6.025594177553658
6000000.0,1,Emission-filtered NNLS,0.5375208148817858,10.403882032022066
6000000.0,2,FE calibrated NNLS,0.10745199163908159,6.025594177553658
6000000.0,2,Emission-filtered NNLS,0.5355078349798001,10.403882032022066
6000000.0,3,FE calibrated NNLS,0.10897704974518843,6.025594177553658
6000000.0,3,Emission-filtered NNLS,0.5245319795405531,10.403882032022066
12000000.0,0,FE calibrated NNLS,0.09874218556932313,5.596612330195987
12000000.0,0,Emission-filtered NNLS,0.5269802021888379,10.403882032022066
12000000.0,1,FE calibrated NNLS,0.10037949416568388,5.596612330195987
12000000.0,1,Emission-filtered NNLS,0.5301410550171175,10.403882032022066
12000000.0,2,FE calibrated NNLS,0.09941305533506858,5.596612330195987
12000000.0,2,Emission-filtered NNLS,0.5303748794132461,10.403882032022066
12000000.0,3,FE calibrated NNLS,0.09977306998919591,5.596612330195987
12000000.0,3,Emission-filtered NNLS,0.5337673586264537,10.403882032022066
20000000.0,0,FE calibrated NNLS,0.09749968968773698,5.497472152335414
20000000.0,0,Emission-filtered NNLS,0.5377806434896929,10.403882032022066
20000000.0,1,FE calibrated NNLS,0.09581426995607421,5.497472152335414
20000000.0,1,Emission-filtered NNLS,0.5292956084122475,10.403882032022066
20000000.0,2,FE calibrated NNLS,0.09577298989674181,5.497472152335414
20000000.0,2,Emission-filtered NNLS,0.5213623580440728,10.403882032022066
20000000.0,3,FE calibrated NNLS,0.09467385964344101,5.497472152335414
20000000.0,3,Emission-filtered NNLS,0.5340115122172002,10.403882032022066
