emission_signature_similarity,replicate,method,mean_nrmse,condition_number
0.0,0,FE calibrated NNLS,0.09820663508145586,5.596612330195987
0.0,0,Emission-filtered NNLS,0.5285397877949931,10.403882032022066
0.0,1,FE calibrated NNLS,0.10160307899092129,5.596612330195987
0.0,1,Emission-filtered NNLS,0.5257368793430897,10.403882032022066
0.0,2,FE calibrated NNLS,0.10115220854796625,5.596612330195987
0.0,2,Emission-filtered NNLS,0.5260456959359567,10.403882032022066
0.0,3,FE calibrated NNLS,0.09755920732545978,5.596612330195987
0.0,3,Emission-filtered NNLS,0.52736897083439,10.403882032022066
0.25,0,FE calibrated NNLS,0.09853218361162738,5.596612330195987
0.25,0,Emission-filtered NNLS,0.5842091090411379,13.743907153024283
0.25,1,FE calibrated NNLS,0.09885930239771001,5.596612330195987
0.25,1,Emission-filtered NNLS,0.5810309227928552,13.743907153024283
0.25,2,FE calibrated NNLS,0.09888357514051496,5.596612330195987
0.25,2,Emission-filtered NNLS,0.581516414537133,13.743907153024283
0.25,3,FE calibrated NNLS,0.0969693573367976,5.596612330195987
0.25,3,Emission-filtered NNLS,0.5774690406448999,13.743907153024283
0.5,0,FE calibrated NNLS,0.09884583625446985,5.596612330195987
0.5,0,Emission-filtered NNLS,0.6295816344719105,20.45110288155154
0.5,1,FE calibrated NNLS,0.09793602791877666,5.596612330195987
0.5,1,Emission-filtered NNLS,0.6317986106507933,20.45110288155154
0.5,2,FE calibrated NNLS,0.09759918385386006,5.596612330195987
0.5,2,Emission-filtered NNLS,0.6314144730028557,20.45110288155154
0.5,3,FE calibrated NNLS,0.09755064511032348,5.596612330195987
0.5,3,Emission-filtered NNLS,0.62927835433583,20.45110288155154
0.75,0,FE calibrated NNLS,0.09930543024574895,5.596612330195987
0.75,0,Emission-filtered NNLS,0.6732986630314507,40.62538484856883
0.75,1,FE calibrated NNLS,0.09496596971363663,5.596612330195987
0.75,1,Emission-filtered NNLS,0.6729397027842631,40.62538484856883
0.75,2,FE calibrated NNLS,0.10179240468779296,5.596612330195987
0.75,2,Emission-filtered NNLS,0.6721976514418637,40.62538484856883
0.75,3,FE calibrated NNLS,0.09904433916220384,5.596612330195987
0.75,3,Emission-filtered NNLS,0.6754508196147766,40.62538484856883
0.9,0,FE calibrated NNLS,0.09669617344802184,5.596612330195987
0.9,0,Emission-filtered NNLS,0.6962670000746234,101.21011956507584
0.9,1,FE calibrated NNLS,0.09973648967515097,5.596612330195987
0.9,1,Emission-filtered NNLS,0.6947163407465119,101.21011956507584
0.9,2,FE calibrated NNLS,0.09821770644825067,5.596612330195987
0.9,2,Emission-filtered NNLS,0.6945833720952602,101.21011956507584
0.9,3,FE calibrated NNLS,0.10057379258473342,5.596612330195987
0.9,3,Emission-filtered NNLS,0.695853591109629,101.21011956507584
0.97,0,FE calibrated NNLS,0.09867326736830645,5.596612330195987
0.97,0,Emission-filtered NNLS,0.7048845311798335,336.86969815983474
0.97,1,FE calibrated NNLS,0.09999711297773284,5.596612330195987
0.97,1,Emission-filtered NNLS,0.7047323861313781,336.86969815983474
0.97,2,FE calibrated NNLS,0.10015431174054451,5.596612330195987
0.97,2,Emission-filtered NNLS,0.7046643483874172,336.86969815983474
0.97,3,FE calibrated NNLS,0.09621443710027683,5.596612330195987
0.97,3,Emission-filtered NNLS,0.7059790767613159,336.86969815983474
0.995,0,FE calibrated NNLS,0.09770951777087115,5.596612330195987
0.995,0,Emission-filtered NNLS,0.7084976872907058,2020.2005049996817
0.995,1,FE calibrated NNLS,0.09873529589337783,5.596612330195987
0.995,1,Emission-filtered NNLS,0.7083942517443484,2020.2005049996817
0.995,2,FE calibrated NNLS,0.09879793562771781,5.596612330195987
0.995,2,Emission-filtered NNLS,0.7083438508020449,2020.2005049996817
0.995,3,FE calibrated NNLS,0.09963101438204797,5.596612330195987
0.995,3,Emission-filtered NNLS,0.7086953232299451,2020.2005049996817
