emission_optical_throughput,replicate,method,mean_nrmse,condition_number
0.1,0,FE calibrated NNLS,0.09908664633411893,5.596612330195987
0.1,0,Emission-filtered NNLS,0.6709710516242728,10.403882032022066
0.1,1,FE calibrated NNLS,0.09953110047822344,5.596612330195987
0.1,1,Emission-filtered NNLS,0.6749012510418562,10.403882032022066
0.1,2,FE calibrated NNLS,0.09827594631151373,5.596612330195987
0.1,2,Emission-filtered NNLS,0.6714977026240061,10.403882032022066
0.1,3,FE calibrated NNLS,0.10165443061330823,5.596612330195987
0.1,3,Emission-filtered NNLS,0.6734122083418997,10.403882032022066
0.2,0,FE calibrated NNLS,0.09621021582024622,5.596612330195987
0.2,0,Emission-filtered NNLS,0.612872095942449,10.403882032022066
0.2,1,FE calibrated NNLS,0.09780088811826101,5.596612330195987
0.2,1,Emission-filtered NNLS,0.613922530689162,10.403882032022066
0.2,2,FE calibrated NNLS,0.0993777950199117,5.596612330195987
0.2,2,Emission-filtered NNLS,0.602413342762942,10.403882032022066
0.2,3,FE calibrated NNLS,0.0965308286376728,5.596612330195987
0.2,3,Emission-filtered NNLS,0.6120756713984035,10.403882032022066
0.35,0,FE calibrated NNLS,0.10031538988195533,5.596612330195987
0.35,0,Emission-filtered NNLS,0.5239633709808992,10.403882032022066
0.35,1,FE calibrated NNLS,0.09720946359160293,5.596612330195987
0.35,1,Emission-filtered NNLS,0.536052891162742,10.403882032022066
0.35,2,FE calibrated NNLS,0.0978077637319685,5.596612330195987
0.35,2,Emission-filtered NNLS,0.538169540926076,10.403882032022066
0.35,3,FE calibrated NNLS,0.09891750278413383,5.596612330195987
0.35,3,Emission-filtered NNLS,0.5325099472914667,10.403882032022066
0.5,0,FE calibrated NNLS,0.09739896957812579,5.596612330195987
0.5,0,Emission-filtered NNLS,0.46892147021051445,10.403882032022066
0.5,1,FE calibrated NNLS,0.10260871220746832,5.596612330195987
0.5,1,Emission-filtered NNLS,0.46919061810780427,10.403882032022066
0.5,2,FE calibrated NNLS,0.09672020792684245,5.596612330195987
0.5,2,Emission-filtered NNLS,0.4573190161378806,10.403882032022066
0.5,3,FE calibrated NNLS,0.09932280095171413,5.596612330195987
0.5,3,Emission-filtered NNLS,0.4710302559041938,10.403882032022066
0.7,0,FE calibrated NNLS,0.09918564012541758,5.596612330195987
0.7,0,Emission-filtered NNLS,0.39047431813641065,10.403882032022066
0.7,1,FE calibrated NNLS,0.09979071500856536,5.596612330195987
0.7,1,Emission-filtered NNLS,0.3937776746367732,10.403882032022066
0.7,2,FE calibrated NNLS,0.09659817914603813,5.596612330195987
0.7,2,Emission-filtered NNLS,0.39098121687245957,10.403882032022066
0.7,3,FE calibrated NNLS,0.09908881912118542,5.596612330195987
0.7,3,Emission-filtered NNLS,0.39335619998140325,10.403882032022066
0.9,0,FE calibrated NNLS,0.09662409695808397,5.596612330195987
0.9,0,Emission-filtered NNLS,0.33964451470469703,10.403882032022066
0.9,1,FE calibrated NNLS,0.09907095973682098,5.596612330195987
0.9,1,Emission-filtered NNLS,0.3444824191595438,10.403882032022066
0.9,2,FE calibrated NNLS,0.09910322535829841,5.596612330195987
0.9,2,Emission-filtered NNLS,0.34461068320880606,10.403882032022066
0.9,3,FE calibrated NNLS,0.10043002371713947,5.596612330195987
0.9,3,Emission-filtered NNLS,0.34225942607098353,10.403882032022066
1.0,0,FE calibrated NNLS,0.09818138648700442,5.596612330195987
1.0,0,Emission-filtered NNLS,0.31549784928199265,10.403882032022066
1.0,1,FE calibrated NNLS,0.10059468429373708,5.596612330195987
1.0,1,Emission-filtered NNLS,0.33035976897812774,10.403882032022066
1.0,2,FE calibrated NNLS,0.09969811308866239,5.596612330195987
1.0,2,Emission-filtered NNLS,0.32309380634347656,10.403882032022066
1.0,3,FE calibrated NNLS,0.09845945584190596,5.596612330195987
1.0,3,Emission-filtered NNLS,0.31690657210482387,10.403882032022066
