background_counts_per_sample,replicate,method,mean_nrmse,condition_number
0.0,0,FE calibrated NNLS,0.09760386778395644,5.596612330195987
0.0,0,Emission-filtered NNLS,0.5155698401045222,10.403882032022066
0.0,1,FE calibrated NNLS,0.10129205842232764,5.596612330195987
0.0,1,Emission-filtered NNLS,0.5085417680340183,10.403882032022066
0.0,2,FE calibrated NNLS,0.09663888628506254,5.596612330195987
0.0,2,Emission-filtered NNLS,0.5119087453487629,10.403882032022066
0.0,3,FE calibrated NNLS,0.10054161248959709,5.596612330195987
0.0,3,Emission-filtered NNLS,0.5143240898808905,10.403882032022066
0.02,0,FE calibrated NNLS,0.09922562733021681,5.596612330195987
0.02,0,Emission-filtered NNLS,0.5217532103104375,10.403882032022066
0.02,1,FE calibrated NNLS,0.09801411921649972,5.596612330195987
0.02,1,Emission-filtered NNLS,0.5215016674413686,10.403882032022066
0.02,2,FE calibrated NNLS,0.09692798359816288,5.596612330195987
0.02,2,Emission-filtered NNLS,0.5179076237095115,10.403882032022066
0.02,3,FE calibrated NNLS,0.09869001412694565,5.596612330195987
0.02,3,Emission-filtered NNLS,0.5259654429233892,10.403882032022066
0.08,0,FE calibrated NNLS,0.10036458858431199,5.596612330195987
0.08,0,Emission-filtered NNLS,0.5385113494440528,10.403882032022066
0.08,1,FE calibrated NNLS,0.09893401497460014,5.596612330195987
0.08,1,Emission-filtered NNLS,0.5382631356140999,10.403882032022066
0.08,2,FE calibrated NNLS,0.10110769529147878,5.596612330195987
0.08,2,Emission-filtered NNLS,0.5529194994377367,10.403882032022066
0.08,3,FE calibrated NNLS,0.09908484867802161,5.596612330195987
0.08,3,Emission-filtered NNLS,0.5444635319371874,10.403882032022066
0.25,0,FE calibrated NNLS,0.10214866764304895,5.596612330195987
0.25,0,Emission-filtered NNLS,0.5879186380848298,10.403882032022066
0.25,1,FE calibrated NNLS,0.10429943530828677,5.596612330195987
0.25,1,Emission-filtered NNLS,0.5884184488515789,10.403882032022066
0.25,2,FE calibrated NNLS,0.10397616795456019,5.596612330195987
0.25,2,Emission-filtered NNLS,0.5877477055672282,10.403882032022066
0.25,3,FE calibrated NNLS,0.10377134041596144,5.596612330195987
0.25,3,Emission-filtered NNLS,0.5796822471147176,10.403882032022066
0.8,0,FE calibrated NNLS,0.11518766151400026,5.596612330195987
0.8,0,Emission-filtered NNLS,0.6343578790258011,10.403882032022066
0.8,1,FE calibrated NNLS,0.1184582718737126,5.596612330195987
0.8,1,Emission-filtered NNLS,0.6348862729520448,10.403882032022066
0.8,2,FE calibrated NNLS,0.11806011601620964,5.596612330195987
0.8,2,Emission-filtered NNLS,0.6311633349964336,10.403882032022066
0.8,3,FE calibrated NNLS,0.11849729976799861,5.596612330195987
0.8,3,Emission-filtered NNLS,0.6354515113959978,10.403882032022066
2.0,0,FE calibrated NNLS,0.13999081181770676,5.596612330195987
2.0,0,Emission-filtered NNLS,0.6680319037944265,10.403882032022066
2.0,1,FE calibrated NNLS,0.13983689816121198,5.596612330195987
2.0,1,Emission-filtered NNLS,0.6686263591066226,10.403882032022066
2.0,2,FE calibrated NNLS,0.13811947126023782,5.596612330195987
2.0,2,Emission-filtered NNLS,0.6650465556593429,10.403882032022066
2.0,3,FE calibrated NNLS,0.14250932492114443,5.596612330195987
2.0,3,Emission-filtered NNLS,0.6696618978434232,10.403882032022066
