photons_per_relative_unit_per_sample,replicate,method,mean_nrmse,condition_number
0.05,0,FE calibrated NNLS,0.3046843075239636,5.596612330195987
0.05,0,Emission-filtered NNLS,0.7252012023664509,10.403882032022066
0.05,1,FE calibrated NNLS,0.30734118911159364,5.596612330195987
0.05,1,Emission-filtered NNLS,0.7272443924580243,10.403882032022066
0.05,2,FE calibrated NNLS,0.3053909940876822,5.596612330195987
0.05,2,Emission-filtered NNLS,0.7313880677117337,10.403882032022066
0.05,3,FE calibrated NNLS,0.30240828013029414,5.596612330195987
0.05,3,Emission-filtered NNLS,0.7248655869581156,10.403882032022066
0.1,0,FE calibrated NNLS,0.20402329664368957,5.596612330195987
0.1,0,Emission-filtered NNLS,0.669329584858374,10.403882032022066
0.1,1,FE calibrated NNLS,0.19579785639955455,5.596612330195987
0.1,1,Emission-filtered NNLS,0.6717653027428692,10.403882032022066
0.1,2,FE calibrated NNLS,0.2039797689218398,5.596612330195987
0.1,2,Emission-filtered NNLS,0.6747988647123867,10.403882032022066
0.1,3,FE calibrated NNLS,0.20347107163267225,5.596612330195987
0.1,3,Emission-filtered NNLS,0.6731285915715446,10.403882032022066
0.2,0,FE calibrated NNLS,0.1355101363454076,5.596612330195987
0.2,0,Emission-filtered NNLS,0.6020957021127649,10.403882032022066
0.2,1,FE calibrated NNLS,0.1360879309941462,5.596612330195987
0.2,1,Emission-filtered NNLS,0.6149657401919215,10.403882032022066
0.2,2,FE calibrated NNLS,0.13851855835573268,5.596612330195987
0.2,2,Emission-filtered NNLS,0.6144125892580774,10.403882032022066
0.2,3,FE calibrated NNLS,0.13356263940229138,5.596612330195987
0.2,3,Emission-filtered NNLS,0.6075989315050865,10.403882032022066
0.35,0,FE calibrated NNLS,0.09799843061015717,5.596612330195987
0.35,0,Emission-filtered NNLS,0.5382032974394022,10.403882032022066
0.35,1,FE calibrated NNLS,0.09905441233317562,5.596612330195987
0.35,1,Emission-filtered NNLS,0.532085190221703,10.403882032022066
0.35,2,FE calibrated NNLS,0.09554275759845501,5.596612330195987
0.35,2,Emission-filtered NNLS,0.5247943604929074,10.403882032022066
0.35,3,FE calibrated NNLS,0.10021833118964038,5.596612330195987
0.35,3,Emission-filtered NNLS,0.5298339234548465,10.403882032022066
0.7,0,FE calibrated NNLS,0.06740277154079712,5.596612330195987
0.7,0,Emission-filtered NNLS,0.3981772712823357,10.403882032022066
0.7,1,FE calibrated NNLS,0.06898791449809434,5.596612330195987
0.7,1,Emission-filtered NNLS,0.400065622242961,10.403882032022066
0.7,2,FE calibrated NNLS,0.06906172181998187,5.596612330195987
0.7,2,Emission-filtered NNLS,0.3885959430261259,10.403882032022066
0.7,3,FE calibrated NNLS,0.07033321308173353,5.596612330195987
0.7,3,Emission-filtered NNLS,0.4040963014184463,10.403882032022066
1.4,0,FE calibrated NNLS,0.04744361809996113,5.596612330195987
1.4,0,Emission-filtered NNLS,0.261401562245855,10.403882032022066
1.4,1,FE calibrated NNLS,0.04838779955037635,5.596612330195987
1.4,1,Emission-filtered NNLS,0.26110311954764565,10.403882032022066
1.4,2,FE calibrated NNLS,0.04871921042464451,5.596612330195987
1.4,2,Emission-filtered NNLS,0.26898735488355563,10.403882032022066
1.4,3,FE calibrated NNLS,0.04842955439231822,5.596612330195987
1.4,3,Emission-filtered NNLS,0.25580582286287856,10.403882032022066
