signature_similarity,replicate,method,mean_nrmse,condition_number
0.0,0,FE calibrated NNLS,0.09947063457988596,5.596612330195987
0.0,1,FE calibrated NNLS,0.09691633154284082,5.596612330195987
0.0,2,FE calibrated NNLS,0.09779628427085513,5.596612330195987
0.0,3,FE calibrated NNLS,0.09950111492613019,5.596612330195987
0.25,0,FE calibrated NNLS,0.1312656321752112,7.707073486422447
0.25,1,FE calibrated NNLS,0.13208588735551693,7.707073486422447
0.25,2,FE calibrated NNLS,0.13427969122677713,7.707073486422447
0.25,3,FE calibrated NNLS,0.13159680120944114,7.707073486422447
0.5,0,FE calibrated NNLS,0.20821798336432457,11.966798632662726
0.5,1,FE calibrated NNLS,0.20381354669712984,11.966798632662726
0.5,2,FE calibrated NNLS,0.200414005643693,11.966798632662726
0.5,3,FE calibrated NNLS,0.19906193371435027,11.966798632662726
0.75,0,FE calibrated NNLS,0.3901930537009834,24.831655441120486
0.75,1,FE calibrated NNLS,0.37772340205484434,24.831655441120486
0.75,2,FE calibrated NNLS,0.39146027923720605,24.831655441120486
0.75,3,FE calibrated NNLS,0.37812179483205055,24.831655441120486
0.9,0,FE calibrated NNLS,0.5938909682984359,63.53801499617823
0.9,1,FE calibrated NNLS,0.5941181958530353,63.53801499617823
0.9,2,FE calibrated NNLS,0.5902871451159339,63.53801499617823
0.9,3,FE calibrated NNLS,0.5913670847101389,63.53801499617823
0.97,0,FE calibrated NNLS,0.6791550279545391,214.16418392489135
0.97,1,FE calibrated NNLS,0.6788526923059284,214.16418392489135
0.97,2,FE calibrated NNLS,0.6795926728940412,214.16418392489135
0.97,3,FE calibrated NNLS,0.6772811114560783,214.16418392489135
0.995,0,FE calibrated NNLS,0.7035133842047918,1290.1621182302974
0.995,1,FE calibrated NNLS,0.7027160080328818,1290.1621182302974
0.995,2,FE calibrated NNLS,0.7024613369204831,1290.1621182302974
0.995,3,FE calibrated NNLS,0.7036466425855279,1290.1621182302974
