temporal_overlap,replicate,method,mean_nrmse,condition_number
0.0,0,FE calibrated NNLS,0.08026827987334036,2.996814191571346
0.0,0,Emission-filtered NNLS,0.5265459403494523,10.403882032022066
0.0,1,FE calibrated NNLS,0.0775869476596939,2.996814191571346
0.0,1,Emission-filtered NNLS,0.5333572032694887,10.403882032022066
0.0,2,FE calibrated NNLS,0.07984566122945069,2.996814191571346
0.0,2,Emission-filtered NNLS,0.525976385412527,10.403882032022066
0.0,3,FE calibrated NNLS,0.08002321619357798,2.996814191571346
0.0,3,Emission-filtered NNLS,0.5353972331561853,10.403882032022066
0.2,0,FE calibrated NNLS,0.08299588677842329,3.5680949358077796
0.2,0,Emission-filtered NNLS,0.5275171535618671,10.403882032022066
0.2,1,FE calibrated NNLS,0.08367398968561396,3.5680949358077796
0.2,1,Emission-filtered NNLS,0.5247588463932156,10.403882032022066
0.2,2,FE calibrated NNLS,0.08298393268340962,3.5680949358077796
0.2,2,Emission-filtered NNLS,0.5351214172186581,10.403882032022066
0.2,3,FE calibrated NNLS,0.08525176532034967,3.5680949358077796
0.2,3,Emission-filtered NNLS,0.5338514394659889,10.403882032022066
0.5,0,FE calibrated NNLS,0.08935757835175814,4.433701331374257
0.5,0,Emission-filtered NNLS,0.5279972358411529,10.403882032022066
0.5,1,FE calibrated NNLS,0.09074426881549906,4.433701331374257
0.5,1,Emission-filtered NNLS,0.5330780103764841,10.403882032022066
0.5,2,FE calibrated NNLS,0.09125363506795375,4.433701331374257
0.5,2,Emission-filtered NNLS,0.5269520751306758,10.403882032022066
0.5,3,FE calibrated NNLS,0.0899883324714413,4.433701331374257
0.5,3,Emission-filtered NNLS,0.5295054213370181,10.403882032022066
0.75,0,FE calibrated NNLS,0.09625129049331395,5.159703596365152
0.75,0,Emission-filtered NNLS,0.5337629314949086,10.403882032022066
0.75,1,FE calibrated NNLS,0.09630429352214587,5.159703596365152
0.75,1,Emission-filtered NNLS,0.5388272663662883,10.403882032022066
0.75,2,FE calibrated NNLS,0.09686085785105861,5.159703596365152
0.75,2,Emission-filtered NNLS,0.5281210362991284,10.403882032022066
0.75,3,FE calibrated NNLS,0.09703814710094219,5.159703596365152
0.75,3,Emission-filtered NNLS,0.522836261514677,10.403882032022066
0.9,0,FE calibrated NNLS,0.10026552723093632,5.596612330195987
0.9,0,Emission-filtered NNLS,0.5337435105195057,10.403882032022066
0.9,1,FE calibrated NNLS,0.09984046534640603,5.596612330195987
0.9,1,Emission-filtered NNLS,0.5283063165421661,10.403882032022066
0.9,2,FE calibrated NNLS,0.09958855691628521,5.596612330195987
0.9,2,Emission-filtered NNLS,0.5335255220234482,10.403882032022066
0.9,3,FE calibrated NNLS,0.09952899757822459,5.596612330195987
0.9,3,Emission-filtered NNLS,0.533720730576912,10.403882032022066
1.0,0,FE calibrated NNLS,0.10016440891464726,5.8882970481472405
1.0,0,Emission-filtered NNLS,0.5285397877949931,10.403882032022066
1.0,1,FE calibrated NNLS,0.10363894088477264,5.8882970481472405
1.0,1,Emission-filtered NNLS,0.5257368793430897,10.403882032022066
1.0,2,FE calibrated NNLS,0.10317419897222875,5.8882970481472405
1.0,2,Emission-filtered NNLS,0.5260456959359567,10.403882032022066
1.0,3,FE calibrated NNLS,0.0995089428675794,5.8882970481472405
1.0,3,Emission-filtered NNLS,0.52736897083439,10.403882032022066
