brightness_ratio_species2_to_species1,replicate,method,mean_nrmse,condition_number
1.0,0,FE calibrated NNLS,0.09871724670303722,5.5966123301959865
1.0,0,Emission-filtered NNLS,0.5304335774868156,10.403882032022068
1.0,1,FE calibrated NNLS,0.09749050600607714,5.5966123301959865
1.0,1,Emission-filtered NNLS,0.5266546193693982,10.403882032022068
1.0,2,FE calibrated NNLS,0.10058474005762558,5.5966123301959865
1.0,2,Emission-filtered NNLS,0.5295451263679352,10.403882032022068
1.0,3,FE calibrated NNLS,0.09898118023888675,5.5966123301959865
1.0,3,Emission-filtered NNLS,0.5333300366061096,10.403882032022068
1.0,4,FE calibrated NNLS,0.10003444614319262,5.5966123301959865
1.0,4,Emission-filtered NNLS,0.5312212036337456,10.403882032022068
1.0,5,FE calibrated NNLS,0.09628780390176606,5.5966123301959865
1.0,5,Emission-filtered NNLS,0.5291726542578925,10.403882032022068
2.0,0,FE calibrated NNLS,0.08069104583811706,5.5966123301959865
2.0,0,Emission-filtered NNLS,0.45797168104276575,10.403882032022068
2.0,1,FE calibrated NNLS,0.08323161980220284,5.5966123301959865
2.0,1,Emission-filtered NNLS,0.45858556154215147,10.403882032022068
2.0,2,FE calibrated NNLS,0.0820001210362943,5.5966123301959865
2.0,2,Emission-filtered NNLS,0.45838399161992993,10.403882032022068
2.0,3,FE calibrated NNLS,0.08287158667594455,5.5966123301959865
2.0,3,Emission-filtered NNLS,0.46313845238748114,10.403882032022068
2.0,4,FE calibrated NNLS,0.07988858092678804,5.5966123301959865
2.0,4,Emission-filtered NNLS,0.46166746926444047,10.403882032022068
2.0,5,FE calibrated NNLS,0.08321738822007077,5.5966123301959865
2.0,5,Emission-filtered NNLS,0.4579404876215236,10.403882032022068
5.0,0,FE calibrated NNLS,0.08349895151336302,5.5966123301959865
5.0,0,Emission-filtered NNLS,0.3992814926283974,10.403882032022068
5.0,1,FE calibrated NNLS,0.08063292923033036,5.5966123301959865
5.0,1,Emission-filtered NNLS,0.3976544893840417,10.403882032022068
5.0,2,FE calibrated NNLS,0.08380089912118208,5.5966123301959865
5.0,2,Emission-filtered NNLS,0.3944819046446674,10.403882032022068
5.0,3,FE calibrated NNLS,0.08226880776442423,5.5966123301959865
5.0,3,Emission-filtered NNLS,0.38966906969218434,10.403882032022068
5.0,4,FE calibrated NNLS,0.08275473007079087,5.5966123301959865
5.0,4,Emission-filtered NNLS,0.40392578453307526,10.403882032022068
5.0,5,FE calibrated NNLS,0.08082474953482055,5.5966123301959865
5.0,5,Emission-filtered NNLS,0.3967548319966769,10.403882032022068
10.0,0,FE calibrated NNLS,0.09440797716227271,5.5966123301959865
10.0,0,Emission-filtered NNLS,0.38203966135125567,10.403882032022068
10.0,1,FE calibrated NNLS,0.09460858478756276,5.5966123301959865
10.0,1,Emission-filtered NNLS,0.3890442982731902,10.403882032022068
10.0,2,FE calibrated NNLS,0.10004092994895887,5.5966123301959865
10.0,2,Emission-filtered NNLS,0.3819105546750914,10.403882032022068
10.0,3,FE calibrated NNLS,0.09587753453768316,5.5966123301959865
10.0,3,Emission-filtered NNLS,0.38840040880127774,10.403882032022068
10.0,4,FE calibrated NNLS,0.09568957247080732,5.5966123301959865
10.0,4,Emission-filtered NNLS,0.38033077960416506,10.403882032022068
10.0,5,FE calibrated NNLS,0.09565425306050383,5.5966123301959865
10.0,5,Emission-filtered NNLS,0.3859795907019073,10.403882032022068
20.0,0,FE calibrated NNLS,0.12231931343772964,5.5966123301959865
20.0,0,Emission-filtered NNLS,0.3855930634181674,10.403882032022068
20.0,1,FE calibrated NNLS,0.12214510338031224,5.5966123301959865
20.0,1,Emission-filtered NNLS,0.38236349072408365,10.403882032022068
20.0,2,FE calibrated NNLS,0.11959189156049085,5.5966123301959865
20.0,2,Emission-filtered NNLS,0.3752538219955048,10.403882032022068
20.0,3,FE calibrated NNLS,0.122373173653151,5.5966123301959865
20.0,3,Emission-filtered NNLS,0.3814513108791239,10.403882032022068
20.0,4,FE calibrated NNLS,0.1211100549618831,5.5966123301959865
20.0,4,Emission-filtered NNLS,0.38512792204702406,10.403882032022068
20.0,5,FE calibrated NNLS,0.12219599201073546,5.5966123301959865
20.0,5,Emission-filtered NNLS,0.3834890286001773,10.403882032022068
50.0,0,FE calibrated NNLS,0.17460169372611062,5.5966123301959865
50.0,0,Emission-filtered NNLS,0.3855826520989908,10.403882032022068
50.0,1,FE calibrated NNLS,0.16998663805362618,5.5966123301959865
50.0,1,Emission-filtered NNLS,0.38982751757044715,10.403882032022068
50.0,2,FE calibrated NNLS,0.17482605020947442,5.5966123301959865
50.0,2,Emission-filtered NNLS,0.3897805056360827,10.403882032022068
50.0,3,FE calibrated NNLS,0.17740584429115075,5.5966123301959865
50.0,3,Emission-filtered NNLS,0.388096507042952,10.403882032022068
50.0,4,FE calibrated NNLS,0.170818312760595,5.5966123301959865
50.0,4,Emission-filtered NNLS,0.3891911792269507,10.403882032022068
50.0,5,FE calibrated NNLS,0.17414104519554519,5.5966123301959865
50.0,5,Emission-filtered NNLS,0.3940036120894786,10.403882032022068
