detector_bandwidth_hz,replicate,method,mean_nrmse,condition_number
1800000.0,0,FE calibrated NNLS,0.20705582795728594,9.726958160215249
1800000.0,0,Emission-filtered NNLS,0.5287137750642064,10.403882032022068
1800000.0,1,FE calibrated NNLS,0.20840095622350596,9.726958160215249
1800000.0,1,Emission-filtered NNLS,0.5276017840032654,10.403882032022068
1800000.0,2,FE calibrated NNLS,0.2062735108071196,9.726958160215249
1800000.0,2,Emission-filtered NNLS,0.5325330918861633,10.403882032022068
1800000.0,3,FE calibrated NNLS,0.21146207647262644,9.726958160215249
1800000.0,3,Emission-filtered NNLS,0.5301457674581871,10.403882032022068
1800000.0,4,FE calibrated NNLS,0.21002419108275117,9.726958160215249
1800000.0,4,Emission-filtered NNLS,0.5291814993951357,10.403882032022068
1800000.0,5,FE calibrated NNLS,0.20752440799507266,9.726958160215249
1800000.0,5,Emission-filtered NNLS,0.5335397679210329,10.403882032022068
2500000.0,0,FE calibrated NNLS,0.1659067488313103,8.041367093825922
2500000.0,0,Emission-filtered NNLS,0.529390119905669,10.403882032022068
2500000.0,1,FE calibrated NNLS,0.16433591529364466,8.041367093825922
2500000.0,1,Emission-filtered NNLS,0.5355350567053541,10.403882032022068
2500000.0,2,FE calibrated NNLS,0.1633439928358233,8.041367093825922
2500000.0,2,Emission-filtered NNLS,0.5346903932305862,10.403882032022068
2500000.0,3,FE calibrated NNLS,0.1631330425519738,8.041367093825922
2500000.0,3,Emission-filtered NNLS,0.529465162847423,10.403882032022068
2500000.0,4,FE calibrated NNLS,0.16745118235564377,8.041367093825922
2500000.0,4,Emission-filtered NNLS,0.528634257146529,10.403882032022068
2500000.0,5,FE calibrated NNLS,0.167128464917113,8.041367093825922
2500000.0,5,Emission-filtered NNLS,0.5312342795988182,10.403882032022068
4000000.0,0,FE calibrated NNLS,0.1278058005567545,6.643809039158095
4000000.0,0,Emission-filtered NNLS,0.5222862834013784,10.403882032022068
4000000.0,1,FE calibrated NNLS,0.13078424878460504,6.643809039158095
4000000.0,1,Emission-filtered NNLS,0.5397083043919579,10.403882032022068
4000000.0,2,FE calibrated NNLS,0.1298679193474095,6.643809039158095
4000000.0,2,Emission-filtered NNLS,0.5341532906735168,10.403882032022068
4000000.0,3,FE calibrated NNLS,0.12798547447867498,6.643809039158095
4000000.0,3,Emission-filtered NNLS,0.5295944797597256,10.403882032022068
4000000.0,4,FE calibrated NNLS,0.12737015605865828,6.643809039158095
4000000.0,4,Emission-filtered NNLS,0.5305182022511629,10.403882032022068
4000000.0,5,FE calibrated NNLS,0.1295123186271898,6.643809039158095
4000000.0,5,Emission-filtered NNLS,0.5290572177648091,10.403882032022068
6000000.0,0,FE calibrated NNLS,0.11136039589002372,6.025594177553658
6000000.0,0,Emission-filtered NNLS,0.5323395395198891,10.403882032022068
6000000.0,1,FE calibrated NNLS,0.10944194221500111,6.025594177553658
6000000.0,1,Emission-filtered NNLS,0.5375208148817858,10.403882032022068
6000000.0,2,FE calibrated NNLS,0.1074519916390816,6.025594177553658
6000000.0,2,Emission-filtered NNLS,0.5355078349798001,10.403882032022068
6000000.0,3,FE calibrated NNLS,0.10897704974518843,6.025594177553658
6000000.0,3,Emission-filtered NNLS,0.5245319795405531,10.403882032022068
6000000.0,4,FE calibrated NNLS,0.11173602792176977,6.025594177553658
6000000.0,4,Emission-filtered NNLS,0.5329372393116542,10.403882032022068
6000000.0,5,FE calibrated NNLS,0.111561013487755,6.025594177553658
6000000.0,5,Emission-filtered NNLS,0.5350930080129548,10.403882032022068
12000000.0,0,FE calibrated NNLS,0.09874218556932311,5.5966123301959865
12000000.0,0,Emission-filtered NNLS,0.5269802021888379,10.403882032022068
12000000.0,1,FE calibrated NNLS,0.10037949416568387,5.5966123301959865
12000000.0,1,Emission-filtered NNLS,0.5301410550171175,10.403882032022068
12000000.0,2,FE calibrated NNLS,0.09941305533506858,5.5966123301959865
12000000.0,2,Emission-filtered NNLS,0.5303748794132461,10.403882032022068
12000000.0,3,FE calibrated NNLS,0.09977306998919591,5.5966123301959865
12000000.0,3,Emission-filtered NNLS,0.5337673586264537,10.403882032022068
12000000.0,4,FE calibrated NNLS,0.0975436719669467,5.5966123301959865
12000000.0,4,Emission-filtered NNLS,0.5320430667770744,10.403882032022068
12000000.0,5,FE calibrated NNLS,0.09889755051526888,5.5966123301959865
12000000.0,5,Emission-filtered NNLS,0.5301940586499259,10.403882032022068
20000000.0,0,FE calibrated NNLS,0.09749968968773698,5.497472152335414
20000000.0,0,Emission-filtered NNLS,0.5377806434896929,10.403882032022068
20000000.0,1,FE calibrated NNLS,0.0958142699560742,5.497472152335414
20000000.0,1,Emission-filtered NNLS,0.5292956084122475,10.403882032022068
20000000.0,2,FE calibrated NNLS,0.0957729898967418,5.497472152335414
20000000.0,2,Emission-filtered NNLS,0.5213623580440728,10.403882032022068
20000000.0,3,FE calibrated NNLS,0.09467385964344102,5.497472152335414
20000000.0,3,Emission-filtered NNLS,0.5340115122172002,10.403882032022068
20000000.0,4,FE calibrated NNLS,0.0958246305511889,5.497472152335414
20000000.0,4,Emission-filtered NNLS,0.5241194180747157,10.403882032022068
20000000.0,5,FE calibrated NNLS,0.09628425516155789,5.497472152335414
20000000.0,5,Emission-filtered NNLS,0.5294989639227919,10.403882032022068
