emission_optical_throughput,replicate,method,mean_nrmse,condition_number
0.1,0,FE calibrated NNLS,0.09908664633411893,5.5966123301959865
0.1,0,Emission-filtered NNLS,0.6709710516242728,10.403882032022068
0.1,1,FE calibrated NNLS,0.09953110047822344,5.5966123301959865
0.1,1,Emission-filtered NNLS,0.6749012510418562,10.403882032022068
0.1,2,FE calibrated NNLS,0.09827594631151372,5.5966123301959865
0.1,2,Emission-filtered NNLS,0.6714977026240061,10.403882032022068
0.1,3,FE calibrated NNLS,0.10165443061330823,5.5966123301959865
0.1,3,Emission-filtered NNLS,0.6734122083418999,10.403882032022068
0.1,4,FE calibrated NNLS,0.09957333445083102,5.5966123301959865
0.1,4,Emission-filtered NNLS,0.6712024428240015,10.403882032022068
0.1,5,FE calibrated NNLS,0.10094481647464007,5.5966123301959865
0.1,5,Emission-filtered NNLS,0.6696685380675393,10.403882032022068
0.2,0,FE calibrated NNLS,0.09621021582024622,5.5966123301959865
0.2,0,Emission-filtered NNLS,0.612872095942449,10.403882032022068
0.2,1,FE calibrated NNLS,0.09780088811826101,5.5966123301959865
0.2,1,Emission-filtered NNLS,0.613922530689162,10.403882032022068
0.2,2,FE calibrated NNLS,0.09937779501991169,5.5966123301959865
0.2,2,Emission-filtered NNLS,0.6024133427629419,10.403882032022068
0.2,3,FE calibrated NNLS,0.09653082863767282,5.5966123301959865
0.2,3,Emission-filtered NNLS,0.6120756713984035,10.403882032022068
0.2,4,FE calibrated NNLS,0.09826744372984864,5.5966123301959865
0.2,4,Emission-filtered NNLS,0.6084064424644964,10.403882032022068
0.2,5,FE calibrated NNLS,0.09812084710304694,5.5966123301959865
0.2,5,Emission-filtered NNLS,0.6092147424846048,10.403882032022068
0.35,0,FE calibrated NNLS,0.10031538988195532,5.5966123301959865
0.35,0,Emission-filtered NNLS,0.5239633709808992,10.403882032022068
0.35,1,FE calibrated NNLS,0.09720946359160293,5.5966123301959865
0.35,1,Emission-filtered NNLS,0.536052891162742,10.403882032022068
0.35,2,FE calibrated NNLS,0.0978077637319685,5.5966123301959865
0.35,2,Emission-filtered NNLS,0.538169540926076,10.403882032022068
0.35,3,FE calibrated NNLS,0.09891750278413383,5.5966123301959865
0.35,3,Emission-filtered NNLS,0.5325099472914667,10.403882032022068
0.35,4,FE calibrated NNLS,0.09958719374379298,5.5966123301959865
0.35,4,Emission-filtered NNLS,0.537392414422158,10.403882032022068
0.35,5,FE calibrated NNLS,0.09979207440912166,5.5966123301959865
0.35,5,Emission-filtered NNLS,0.5289940449200117,10.403882032022068
0.5,0,FE calibrated NNLS,0.09739896957812577,5.5966123301959865
0.5,0,Emission-filtered NNLS,0.4689214702105144,10.403882032022068
0.5,1,FE calibrated NNLS,0.10260871220746831,5.5966123301959865
0.5,1,Emission-filtered NNLS,0.46919061810780427,10.403882032022068
