photons_per_relative_unit_per_sample,replicate,method,mean_nrmse,condition_number
0.05,0,FE calibrated NNLS,0.3046843075239636,5.5966123301959865
0.05,0,Emission-filtered NNLS,0.7252012023664509,10.403882032022068
0.05,1,FE calibrated NNLS,0.3073411891115936,5.5966123301959865
0.05,1,Emission-filtered NNLS,0.7272443924580243,10.403882032022068
0.05,2,FE calibrated NNLS,0.3053909940876822,5.5966123301959865
0.05,2,Emission-filtered NNLS,0.7313880677117337,10.403882032022068
0.05,3,FE calibrated NNLS,0.3024082801302942,5.5966123301959865
0.05,3,Emission-filtered NNLS,0.7248655869581156,10.403882032022068
0.05,4,FE calibrated NNLS,0.3043786738153805,5.5966123301959865
0.05,4,Emission-filtered NNLS,0.7270130080845514,10.403882032022068
0.05,5,FE calibrated NNLS,0.30598294680003346,5.5966123301959865
0.05,5,Emission-filtered NNLS,0.7255414714507487,10.403882032022068
0.1,0,FE calibrated NNLS,0.20402329664368957,5.5966123301959865
0.1,0,Emission-filtered NNLS,0.669329584858374,10.403882032022068
0.1,1,FE calibrated NNLS,0.19579785639955455,5.5966123301959865
0.1,1,Emission-filtered NNLS,0.6717653027428692,10.403882032022068
0.1,2,FE calibrated NNLS,0.20397976892183978,5.5966123301959865
0.1,2,Emission-filtered NNLS,0.6747988647123867,10.403882032022068
0.1,3,FE calibrated NNLS,0.20347107163267225,5.5966123301959865
0.1,3,Emission-filtered NNLS,0.6731285915715448,10.403882032022068
0.1,4,FE calibrated NNLS,0.20090766053476386,5.5966123301959865
0.1,4,Emission-filtered NNLS,0.6705628874901116,10.403882032022068
0.1,5,FE calibrated NNLS,0.19929243075619557,5.5966123301959865
0.1,5,Emission-filtered NNLS,0.6719334162727078,10.403882032022068
0.2,0,FE calibrated NNLS,0.13551013634540757,5.5966123301959865
0.2,0,Emission-filtered NNLS,0.6020957021127649,10.403882032022068
0.2,1,FE calibrated NNLS,0.1360879309941462,5.5966123301959865
0.2,1,Emission-filtered NNLS,0.6149657401919215,10.403882032022068
0.2,2,FE calibrated NNLS,0.13851855835573268,5.5966123301959865
0.2,2,Emission-filtered NNLS,0.6144125892580773,10.403882032022068
0.2,3,FE calibrated NNLS,0.13356263940229138,5.5966123301959865
0.2,3,Emission-filtered NNLS,0.6075989315050865,10.403882032022068
0.2,4,FE calibrated NNLS,0.13516416662249184,5.5966123301959865
0.2,4,Emission-filtered NNLS,0.6135020883441957,10.403882032022068
0.2,5,FE calibrated NNLS,0.1366361134966534,5.5966123301959865
0.2,5,Emission-filtered NNLS,0.6096314280177131,10.403882032022068
0.35,0,FE calibrated NNLS,0.09799843061015716,5.5966123301959865
0.35,0,Emission-filtered NNLS,0.5382032974394022,10.403882032022068
0.35,1,FE calibrated NNLS,0.09905441233317562,5.5966123301959865
0.35,1,Emission-filtered NNLS,0.532085190221703,10.403882032022068
0.35,2,FE calibrated NNLS,0.09554275759845501,5.5966123301959865
0.35,2,Emission-filtered NNLS,0.5247943604929073,10.403882032022068
0.35,3,FE calibrated NNLS,0.10021833118964038,5.5966123301959865
0.35,3,Emission-filtered NNLS,0.5298339234548464,10.403882032022068
0.35,4,FE calibrated NNLS,0.10297692204397574,5.5966123301959865
0.35,4,Emission-filtered NNLS,0.5322099133019409,10.403882032022068
0.35,5,FE calibrated NNLS,0.09962509087898322,5.5966123301959865
0.35,5,Emission-filtered NNLS,0.5244563485639935,10.403882032022068
0.7,0,FE calibrated NNLS,0.06740277154079712,5.5966123301959865
0.7,0,Emission-filtered NNLS,0.3981772712823357,10.403882032022068
0.7,1,FE calibrated NNLS,0.06898791449809433,5.5966123301959865
0.7,1,Emission-filtered NNLS,0.40006562224296105,10.403882032022068
0.7,2,FE calibrated NNLS,0.06906172181998185,5.5966123301959865
0.7,2,Emission-filtered NNLS,0.3885959430261259,10.403882032022068
0.7,3,FE calibrated NNLS,0.07033321308173353,5.5966123301959865
0.7,3,Emission-filtered NNLS,0.4040963014184463,10.403882032022068
0.7,4,FE calibrated NNLS,0.06817739115648709,5.5966123301959865
0.7,4,Emission-filtered NNLS,0.3867366998615015,10.403882032022068
0.7,5,FE calibrated NNLS,0.06913019671802803,5.5966123301959865
0.7,5,Emission-filtered NNLS,0.3929592130057803,10.403882032022068
1.4,0,FE calibrated NNLS,0.04744361809996112,5.5966123301959865
1.4,0,Emission-filtered NNLS,0.261401562245855,10.403882032022068
1.4,1,FE calibrated NNLS,0.04838779955037635,5.5966123301959865
1.4,1,Emission-filtered NNLS,0.2611031195476456,10.403882032022068
1.4,2,FE calibrated NNLS,0.048719210424644506,5.5966123301959865
1.4,2,Emission-filtered NNLS,0.2689873548835556,10.403882032022068
1.4,3,FE calibrated NNLS,0.04842955439231823,5.5966123301959865
1.4,3,Emission-filtered NNLS,0.25580582286287856,10.403882032022068
1.4,4,FE calibrated NNLS,0.04901082496270104,5.5966123301959865
1.4,4,Emission-filtered NNLS,0.26062479618408385,10.403882032022068
1.4,5,FE calibrated NNLS,0.048592564164595675,5.5966123301959865
1.4,5,Emission-filtered NNLS,0.2652920502783256,10.403882032022068
