separation_um,replicate,method,mean_nrmse,condition_number
0.5,0,FE calibrated NNLS,0.31631227464179434,5.5966123301959865
0.5,0,Emission-filtered NNLS,0.9138131588558982,10.403882032022068
0.5,1,FE calibrated NNLS,0.2691052163603456,5.5966123301959865
0.5,1,Emission-filtered NNLS,0.9207396094650699,10.403882032022068
0.5,2,FE calibrated NNLS,0.3011946539529508,5.5966123301959865
0.5,2,Emission-filtered NNLS,0.9143464635404315,10.403882032022068
0.5,3,FE calibrated NNLS,0.31339558676942675,5.5966123301959865
0.5,3,Emission-filtered NNLS,0.9212847713653487,10.403882032022068
0.5,4,FE calibrated NNLS,0.29851479330334507,5.5966123301959865
0.5,4,Emission-filtered NNLS,0.9237192896416274,10.403882032022068
0.5,5,FE calibrated NNLS,0.31738516154200813,5.5966123301959865
0.5,5,Emission-filtered NNLS,0.910381241006504,10.403882032022068
1.0,0,FE calibrated NNLS,0.31506472514619355,5.5966123301959865
1.0,0,Emission-filtered NNLS,0.9118497216180353,10.403882032022068
1.0,1,FE calibrated NNLS,0.31224736090305183,5.5966123301959865
1.0,1,Emission-filtered NNLS,0.9135864000286191,10.403882032022068
1.0,2,FE calibrated NNLS,0.28358486397611204,5.5966123301959865
1.0,2,Emission-filtered NNLS,0.9054151507672583,10.403882032022068
1.0,3,FE calibrated NNLS,0.31824556862177134,5.5966123301959865
1.0,3,Emission-filtered NNLS,0.9181651186829094,10.403882032022068
1.0,4,FE calibrated NNLS,0.30594694702322095,5.5966123301959865
1.0,4,Emission-filtered NNLS,0.9129034259053972,10.403882032022068
1.0,5,FE calibrated NNLS,0.3033921728853428,5.5966123301959865
1.0,5,Emission-filtered NNLS,0.9137817571475845,10.403882032022068
2.0,0,FE calibrated NNLS,0.2949909269937481,5.5966123301959865
2.0,0,Emission-filtered NNLS,0.935192998695776,10.403882032022068
2.0,1,FE calibrated NNLS,0.30590625809927374,5.5966123301959865
2.0,1,Emission-filtered NNLS,0.9250370897654556,10.403882032022068
2.0,2,FE calibrated NNLS,0.2907059674149485,5.5966123301959865
2.0,2,Emission-filtered NNLS,0.9263616676390852,10.403882032022068
2.0,3,FE calibrated NNLS,0.32269078637551807,5.5966123301959865
2.0,3,Emission-filtered NNLS,0.9229378249411071,10.403882032022068
2.0,4,FE calibrated NNLS,0.27386356544379303,5.5966123301959865
2.0,4,Emission-filtered NNLS,0.9195812704305365,10.403882032022068
2.0,5,FE calibrated NNLS,0.2995143103272676,5.5966123301959865
2.0,5,Emission-filtered NNLS,0.9304634735848405,10.403882032022068
4.0,0,FE calibrated NNLS,0.3052164070255639,5.5966123301959865
4.0,0,Emission-filtered NNLS,0.9487539769874722,10.403882032022068
4.0,1,FE calibrated NNLS,0.29318201873170247,5.5966123301959865
4.0,1,Emission-filtered NNLS,0.9367846544028222,10.403882032022068
4.0,2,FE calibrated NNLS,0.3145677003238754,5.5966123301959865
