signature_similarity,replicate,method,mean_nrmse,condition_number
0.0,0,FE calibrated NNLS,0.09947063457988597,5.5966123301959865
0.0,1,FE calibrated NNLS,0.09691633154284082,5.5966123301959865
0.0,2,FE calibrated NNLS,0.09779628427085513,5.5966123301959865
0.0,3,FE calibrated NNLS,0.09950111492613019,5.5966123301959865
0.0,4,FE calibrated NNLS,0.09731040091346266,5.5966123301959865
0.0,5,FE calibrated NNLS,0.09878353270709739,5.5966123301959865
0.25,0,FE calibrated NNLS,0.1312656321752112,7.707073486422448
0.25,1,FE calibrated NNLS,0.13208588735551693,7.707073486422448
0.25,2,FE calibrated NNLS,0.1342796912267771,7.707073486422448
0.25,3,FE calibrated NNLS,0.13159680120944112,7.707073486422448
0.25,4,FE calibrated NNLS,0.13371164967035487,7.707073486422448
0.25,5,FE calibrated NNLS,0.13521866996389464,7.707073486422448
0.5,0,FE calibrated NNLS,0.20821798336432457,11.966798632662728
0.5,1,FE calibrated NNLS,0.2038135466971298,11.966798632662728
0.5,2,FE calibrated NNLS,0.20041400564369294,11.966798632662728
0.5,3,FE calibrated NNLS,0.1990619337143503,11.966798632662728
0.5,4,FE calibrated NNLS,0.20368983453141704,11.966798632662728
0.5,5,FE calibrated NNLS,0.2068561161814358,11.966798632662728
0.75,0,FE calibrated NNLS,0.39019305370098345,24.83165544112048
0.75,1,FE calibrated NNLS,0.37772340205484434,24.83165544112048
0.75,2,FE calibrated NNLS,0.39146027923720605,24.83165544112048
0.75,3,FE calibrated NNLS,0.37812179483205066,24.83165544112048
0.75,4,FE calibrated NNLS,0.38758051602831606,24.83165544112048
0.75,5,FE calibrated NNLS,0.38896373315615335,24.83165544112048
0.9,0,FE calibrated NNLS,0.5938909682984359,63.538014996178156
0.9,1,FE calibrated NNLS,0.5941181958530353,63.538014996178156
0.9,2,FE calibrated NNLS,0.5902871451159339,63.538014996178156
0.9,3,FE calibrated NNLS,0.5913670847101389,63.538014996178156
0.9,4,FE calibrated NNLS,0.5961268458254604,63.538014996178156
0.9,5,FE calibrated NNLS,0.5883052196841501,63.538014996178156
0.97,0,FE calibrated NNLS,0.6791550279545391,214.1641839248917
0.97,1,FE calibrated NNLS,0.6788526923059284,214.1641839248917
0.97,2,FE calibrated NNLS,0.6795926728940413,214.1641839248917
0.97,3,FE calibrated NNLS,0.6772811114560783,214.1641839248917
0.97,4,FE calibrated NNLS,0.6767614193185154,214.1641839248917
0.97,5,FE calibrated NNLS,0.680359163752837,214.1641839248917
0.995,0,FE calibrated NNLS,0.703513384204792,1290.1621182302495
0.995,1,FE calibrated NNLS,0.7027160080328816,1290.1621182302495
0.995,2,FE calibrated NNLS,0.7024613369204824,1290.1621182302495
0.995,3,FE calibrated NNLS,0.7036466425855281,1290.1621182302495
0.995,4,FE calibrated NNLS,0.703537908975894,1290.1621182302495
0.995,5,FE calibrated NNLS,0.7031636212739207,1290.1621182302495
