temporal_overlap,replicate,method,mean_nrmse,condition_number
0.0,0,FE calibrated NNLS,0.08026827987334037,2.996814191571346
0.0,0,Emission-filtered NNLS,0.5265459403494523,10.403882032022068
0.0,1,FE calibrated NNLS,0.07758694765969393,2.996814191571346
0.0,1,Emission-filtered NNLS,0.5333572032694887,10.403882032022068
0.0,2,FE calibrated NNLS,0.07984566122945072,2.996814191571346
0.0,2,Emission-filtered NNLS,0.525976385412527,10.403882032022068
0.0,3,FE calibrated NNLS,0.080023216193578,2.996814191571346
0.0,3,Emission-filtered NNLS,0.5353972331561853,10.403882032022068
0.0,4,FE calibrated NNLS,0.08041894065857601,2.996814191571346
0.0,4,Emission-filtered NNLS,0.5329608354214715,10.403882032022068
0.0,5,FE calibrated NNLS,0.08030183518107378,2.996814191571346
0.0,5,Emission-filtered NNLS,0.5302331009041402,10.403882032022068
0.2,0,FE calibrated NNLS,0.0829958867784233,3.5680949358077796
0.2,0,Emission-filtered NNLS,0.5275171535618671,10.403882032022068
0.2,1,FE calibrated NNLS,0.08367398968561397,3.5680949358077796
0.2,1,Emission-filtered NNLS,0.5247588463932156,10.403882032022068
0.2,2,FE calibrated NNLS,0.08298393268340964,3.5680949358077796
0.2,2,Emission-filtered NNLS,0.535121417218658,10.403882032022068
0.2,3,FE calibrated NNLS,0.0852517653203497,3.5680949358077796
0.2,3,Emission-filtered NNLS,0.5338514394659889,10.403882032022068
0.2,4,FE calibrated NNLS,0.08300975575116176,3.5680949358077796
0.2,4,Emission-filtered NNLS,0.539725006325287,10.403882032022068
0.2,5,FE calibrated NNLS,0.08429044582004887,3.5680949358077796
0.2,5,Emission-filtered NNLS,0.5266310906979634,10.403882032022068
0.5,0,FE calibrated NNLS,0.08935757835175814,4.433701331374258
0.5,0,Emission-filtered NNLS,0.5279972358411528,10.403882032022068
0.5,1,FE calibrated NNLS,0.09074426881549906,4.433701331374258
0.5,1,Emission-filtered NNLS,0.5330780103764841,10.403882032022068
0.5,2,FE calibrated NNLS,0.09125363506795374,4.433701331374258
0.5,2,Emission-filtered NNLS,0.5269520751306758,10.403882032022068
0.5,3,FE calibrated NNLS,0.0899883324714413,4.433701331374258
0.5,3,Emission-filtered NNLS,0.5295054213370181,10.403882032022068
0.5,4,FE calibrated NNLS,0.09189375999553631,4.433701331374258
0.5,4,Emission-filtered NNLS,0.533377794710174,10.403882032022068
0.5,5,FE calibrated NNLS,0.08938896326609504,4.433701331374258
0.5,5,Emission-filtered NNLS,0.5365678191704113,10.403882032022068
0.75,0,FE calibrated NNLS,0.09625129049331393,5.159703596365152
0.75,0,Emission-filtered NNLS,0.5337629314949085,10.403882032022068
0.75,1,FE calibrated NNLS,0.09630429352214585,5.159703596365152
0.75,1,Emission-filtered NNLS,0.5388272663662883,10.403882032022068
0.75,2,FE calibrated NNLS,0.09686085785105861,5.159703596365152
0.75,2,Emission-filtered NNLS,0.5281210362991284,10.403882032022068
0.75,3,FE calibrated NNLS,0.09703814710094216,5.159703596365152
0.75,3,Emission-filtered NNLS,0.522836261514677,10.403882032022068
0.75,4,FE calibrated NNLS,0.09506041857045987,5.159703596365152
0.75,4,Emission-filtered NNLS,0.5325451792453529,10.403882032022068
0.75,5,FE calibrated NNLS,0.0957741692570223,5.159703596365152
0.75,5,Emission-filtered NNLS,0.5273884182352673,10.403882032022068
0.9,0,FE calibrated NNLS,0.10026552723093632,5.5966123301959865
0.9,0,Emission-filtered NNLS,0.5337435105195056,10.403882032022068
0.9,1,FE calibrated NNLS,0.099840465346406,5.5966123301959865
0.9,1,Emission-filtered NNLS,0.5283063165421661,10.403882032022068
0.9,2,FE calibrated NNLS,0.0995885569162852,5.5966123301959865
0.9,2,Emission-filtered NNLS,0.533525522023448,10.403882032022068
0.9,3,FE calibrated NNLS,0.09952899757822456,5.5966123301959865
0.9,3,Emission-filtered NNLS,0.533720730576912,10.403882032022068
0.9,4,FE calibrated NNLS,0.09677025478408535,5.5966123301959865
0.9,4,Emission-filtered NNLS,0.5307999988656884,10.403882032022068
0.9,5,FE calibrated NNLS,0.10046652493682946,5.5966123301959865
0.9,5,Emission-filtered NNLS,0.5322151602273983,10.403882032022068
1.0,0,FE calibrated NNLS,0.10016440891464726,5.88829704814724
1.0,0,Emission-filtered NNLS,0.5285397877949931,10.403882032022068
1.0,1,FE calibrated NNLS,0.10363894088477264,5.88829704814724
1.0,1,Emission-filtered NNLS,0.5257368793430897,10.403882032022068
1.0,2,FE calibrated NNLS,0.10317419897222874,5.88829704814724
1.0,2,Emission-filtered NNLS,0.5260456959359567,10.403882032022068
1.0,3,FE calibrated NNLS,0.09950894286757939,5.88829704814724
1.0,3,Emission-filtered NNLS,0.52736897083439,10.403882032022068
1.0,4,FE calibrated NNLS,0.1020575219742799,5.88829704814724
1.0,4,Emission-filtered NNLS,0.5272533722042858,10.403882032022068
1.0,5,FE calibrated NNLS,0.10015145829890042,5.88829704814724
1.0,5,Emission-filtered NNLS,0.5334170879052638,10.403882032022068
